name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
Kepler-69 b,2383,13.866,Neptune-like,2013,5.65,5972200000000000000000000,0.2,11.209,0.094,0.037508555,0.16,Transit,K3 V,K
Kepler-715 b,4330,15.204,Neptune-like,2016,13.5,5972200000000000000000000,0.335,11.209,0.0933,0.027378507,0,Transit,F7 V,F
Kepler-721 b,3023,15.963,Neptune-like,2016,7.46,5972200000000000000000000,0.236,11.209,0.0583,0.014784395,0,Transit,K7,K
Kepler-739 b,4471,15.711,Neptune-like,2016,11,5972200000000000000000000,0.296,11.209,0.1054,0.034223136,0,Transit,M2.5 V,M
Kepler-740 b,4704,16.022,Neptune-like,2016,18.9,5972200000000000000000000,0.408,11.209,0.0462,0.009856262,0,Transit,M2.5 V,M
Kepler-741 b,5421,15.186,Neptune-like,2016,9.11,5972200000000000000000000,0.265,11.209,0.0744,0.019164955,0,Transit,K2 V,K
Kepler-782 b,1458,12.843,Neptune-like,2016,10.4,5972200000000000000000000,0.286,11.209,0.5444,0.4344969,0,Transit,G9 V,G
Kepler-783 c,1683,14.153,Neptune-like,2020,6.04,5972200000000000000000000,0.208,11.209,0.0684,0.01943874,0,Transit,G9 V,G
Kepler-786 b,1583,15.253,Neptune-like,2016,6.48,5972200000000000000000000,0.217,11.209,0.2548,0.14647502,0,Transit,G9 V,G
Kepler-82 e,2950,15.131,Neptune-like,2014,6.66,5972200000000000000000000,0.22,11.209,0.063,0.01615332,0,Transit,M0.0,M
Kepler-82 f,2950,15.131,Neptune-like,2019,20.9,5972200000000000000000000,0.432,11.209,0.3395,0.20725529,0,Transit Timing Variations,M0.0,M
Kepler-841 b,3259,15.791,Neptune-like,2016,23.8,5972200000000000000000000,0.467,11.209,0.479,0.34058863,0,Transit,K5 V,K
Kepler-857 b,3208,15.167,Neptune-like,2016,37.2,5972200000000000000000000,0.607,11.209,0.3751,0.23381247,0,Transit,M0 V,M
Kepler-873 b,3856,15.052,Neptune-like,2016,13.5,5972200000000000000000000,0.335,11.209,0.1542,0.05639973,0,Transit,G9,G
Kepler-874 b,3530,14.822,Neptune-like,2016,14.7,5972200000000000000000000,0.352,11.209,0.2234,0.109787814,0,Transit,G9,G
Kepler-880 b,1962,11.845,Neptune-like,2016,7.56,5972200000000000000000000,0.237,11.209,0.0915,0.021081451,0,Transit,K3,K
Kepler-885 b,2125,12.948,Neptune-like,2016,6.8,5972200000000000000000000,0.223,11.209,0.1432,0.0495551,0,Transit,K3,K
Kepler-891 b,7635,15.386,Neptune-like,2016,33.6,5972200000000000000000000,0.572,11.209,0.2881,0.14620124,0,Transit,K3,K
Kepler-892 b,1862,15.967,Neptune-like,2016,8.3,5972200000000000000000000,0.251,11.209,0.1015,0.03778234,0,Transit,F9 V,F
Kepler-893 b,4194,15.347,Neptune-like,2016,9.43,5972200000000000000000000,0.27,11.209,0.0699,0.017248461,0,Transit,G2 V,G
Kepler-894 b,3793,15.686,Neptune-like,2016,8.15,5972200000000000000000000,0.248,11.209,0.0916,0.026830938,0,Transit,M3.0 V,M
Kepler-896 b,7617,15.457,Neptune-like,2016,6.94,5972200000000000000000000,0.226,11.209,0.5164,0.39561945,0,Transit,M3.0 V,M
Kepler-897 b,4956,15.177,Neptune-like,2016,6.3,5972200000000000000000000,0.213,11.209,0.077,0.021902807,0,Transit,M3.0 V,M
Kepler-899 b,4066,15.713,Neptune-like,2016,7.65,5972200000000000000000000,0.239,11.209,0.1392,0.052566737,0,Transit,G9 V,G
Kepler-902 b,3801,14.992,Neptune-like,2016,6.99,5972200000000000000000000,0.227,11.209,0.223,0.109787814,0,Transit,G9 V,G
Kepler-903 c,4466,14.856,Neptune-like,2016,6.94,5972200000000000000000000,0.226,11.209,0.302,0.17221081,0,Transit,M0.5 V,M
Kepler-90d,2767,13.883,Neptune-like,2013,8.6,5972200000000000000000000,0.256,11.209,0.32,0.16344969,0,Transit,M0.5 V,M
Kepler-926 b,3005,14.431,Neptune-like,2016,5.95,5972200000000000000000000,0.206,11.209,0.2739,0.14264202,0,Transit,M4.5 V,M
Kepler-94 b,626,13.071,Neptune-like,2014,10.84,5972200000000000000000000,0.313,11.209,0.03106,0.006844627,0,Transit,M1.0 V,M
